Company Registration Number, Company Name, Company Country, Year founded, E-mail address, Contact name, Last order, Number of Employees, Average Annual Order ,VAT Registered, Average turnover, Number of staff, Area of Sales
482,     Footstar Inc., Philippines, 1994, Gener@ati.com, Clara, 18868076.000000, 102, 21713740.000000, Yes, Less than 10M EURO, Less than 100, Medical Devices
241,     Ball Corporation, South Africa, 2016, Ameri@seC.com, Devina, 3527085.000000, 28, 21763368.000000, No, Less than 10M EURO, Over 100, ICT
906,     Golden State Bancorp In, Brazil, 1996, Arvin@nca.com, Kellen, 19685216.000000, 93, 21871460.000000, Yes, Over 10M EURO, Less than 10, Other Area
826,     Loews Corporation, Guinea-Bissau, 1976, Nords@Inc.com, Dolly, 18707248.000000, 57, 22084548.000000, No, Over 10M EURO, Less than 100, Medical Devices
744,     Barnes & Noble Inc., Malawi, 2005, E*Tra@nca.com, Brooks, 7013342.000000, 68, 22135810.000000, No, Less than 10M EURO, Over 100, ICT
396,     BMC Software Inc., Antigua & Deps, 2014, TheC@Coa.com, Florella, 5604129.000000, 108, 22379710.000000, No, Less than 10M EURO, Less than 10, Other Area
774,     Armstrong Holdings Inc, Canada, 2012, Lucen@Inc.com, Federica, 1488985.000000, 115, 22428616.000000, Yes, Less than 10M EURO, Less than 100, Medical Devices
305,     Atmos Energy Corporatio, Uzbekistan, 1990, ElPa@ion.com, Joelie, 2353091.000000, 46, 22593508.000000, Yes, Less than 10M EURO, Over 100, ICT
598,     Kroger Co., Ukraine, 1986, Oglet@rpa.com, Tracey, 10100094.000000, 120, 22599836.000000, Yes, Less than 1M EURO, Less than 10, Other Area
249,     The Bank of New York Co, Kyrgyzstan, 1996, Cromp@rpa.com, Leandra, 1485426.000000, 126, 22612738.000000, Yes, Less than 1M EURO, Less than 100, Medical Devices
213,     GATX Corporation, Panama, 1991, North@por.com, Cecilla, 10213892.000000, 81, 22739568.000000, Yes, Less than 1M EURO, Over 100, ICT
656,     American Axle & Manufac, Egypt, 2010, Labor@on.com, Darb, 16295113.000000, 70, 22877634.000000, Yes, Less than 10M EURO, Less than 10, Other Area
687,     C. H. Robinson Worldwid, Grenada, 2021, Coope@ Co.com, Courtenay, 16647707.000000, 138, 22908122.000000, No, Less than 10M EURO, Less than 100, Medical Devices
36,     Home Depot Inc., Taiwan, 2003, Apple@ion.com, Benita, 19744416.000000, 98, 23118196.000000, No, Less than 1M EURO, Over 100, ICT
374,     E.I. Du Pont de Nemours, Paraguay, 1979, AonC@ion.com, Kimmy, 1428077.000000, 51, 23203088.000000, Yes, Over 10M EURO, Less than 10, Other Area
469,     Del Monte Foods Co, Indonesia, 1978, House@nal.com, Elicia, 9339796.000000, 92, 23309028.000000, No, Less than 1M EURO, Less than 100, Medical Devices
795,     American Axle & Manufac, Albania, 1997, Chart@ns.com, Jacquelin, 13646193.000000, 115, 23717068.000000, Yes, Less than 10M EURO, Over 100, ICT
783,     Countrywide Credit Indu, Mauritania, 1990, Apart@ an.com, Phylys, 8271117.000000, 4, 23813614.000000, No, Over 10M EURO, Less than 10, Other Area
970,     Cenex Harvest States Co, Iceland, 2011, Cinci@ Co.com, Thomasa, 4370750.000000, 115, 23972318.000000, Yes, Less than 1M EURO, Less than 100, Medical Devices
860,     Knight-Ridder Inc., Turkey, 1996, AOLT@nca.com, Sandi, 13651544.000000, 139, 24091628.000000, Yes, Less than 1M EURO, Over 100, ICT
962,     Jabil Circuit Inc., Syria, 1977, Hunti@seI.com, Caterina, 7828139.000000, 28, 24309396.000000, No, Less than 1M EURO, Less than 10, Other Area
221,     Kellogg Company, Spain, 1973, Anheu@nie.com, Rasia, 16483728.000000, 77, 24332220.000000, No, Less than 1M EURO, Less than 100, Medical Devices
910,     Consolidated Freightway, Nauru, 2007, IDTC@ion.com, Analise, 5082641.000000, 143, 24521456.000000, No, Less than 10M EURO, Over 100, ICT
362,     Clear Channel Communica, Madagascar, 2004, Amazo@nca.com, Gerry, 1875538.000000, 135, 24677084.000000, No, Over 10M EURO, Less than 10, Other Area
177,     Commercial Metals Co., Monaco, 2000, Ameri@seC.com, Naoma, 12410843.000000, 118, 24709102.000000, Yes, Over 10M EURO, Less than 100, Medical Devices
226,     Murphy Oil Corporation, Ireland {Republic}, 2000, Harma@ In.com, Stace, 15665264.000000, 86, 24747688.000000, Yes, Less than 1M EURO, Over 100, ICT
940,     Caremark Rx Inc., Zimbabwe, 1997, Cardi@nca.com, Merrilee, 719522.000000, 86, 24953100.000000, Yes, Over 10M EURO, Less than 10, Other Area
